X	Y
0	0
5,0965	-0,049
13,4525	-0,1718
18,7205	0,0783
19,6242	-0,5759
20,9332	0,2963
24,5795	0,5455
28,1712	1,2632
32,9083	2,5715
38,9344	5,0968
43,5184	7,4029
46,4267	9,1818
51,2573	12,2967
55,16	15,105
55,908	15,3854
56,4689	16,3822
59,0319	18,3822
60,933	20,7495
62,6832	23,7488
63,7116	27,0818
64,8991	30,9215
65,9292	34,9177
67,1142	39,1595
67,6751	41,2465
68,2678	44,7111
69,6696	48,1757
71,0721	50,2005
71,1032	51,2284
72,381	53,0697
73,8793	55,8801
75,5324	59,3125
76,3738	61,6799
77,2477	62,1266
78,7436	64,8055
79,4604	66,7367
80,707	67,0794
