X	Y
40,5528	34,5674
41,7011	34,0603
42,3153	33,2329
42,2619	30,9107
41,9682	28,5618
41,5943	26,5332
40,9534	24,9584
39,6448	22,396
38,3346	20,6514
37,2664	19,4769
35,7175	18,4893
34,4356	17,8221
33,5811	16,5142
32,3254	13,8656
30,4799	10,6546
28,9561	8,4339
27,5941	6,6722
25,4577	4,003
23,4281	1,8944
21,1544	-0,1112
18,8516	-1,6383
17,5698	-2,4924
17,3294	-2,9462
18,7186	-5,0599
18,8789	-6,5012
18,7987	-7,6757
17,4898	-9,4146
16,6085	-10,1353
14,5789	-10,1353
14,0715	-8,8808
13,3237	-7,7864
12,3623	-6,7989
11,2365	-5,8369
9,3137	-4,5823
7,9518	-3,9951
5,7042	-3,7277
3,5411	-3,7544
2,0666	-4,1289
0	-4,9412
