X	Y
91,8095	78,2947
92,5956	78,1264
93,2132	77,5652
93,5583	76,6063
93,2775	75,0351
92,66	74,6423
91,5371	74,1934
89,572	72,5661
88,1685	71,107
87,4947	69,9206
86,821	68,4617
85,9788	67,9005
84,6313	65,712
83,3401	64,0285
82,1049	62,0084
82,1049	60,9422
81,0943	60,1005
79,41	58,0242
78,7925	56,1725
77,1642	54,3207
76,267	52,2266
75,7618	50,3748
75,2564	49,7575
73,8528	48,2986
73,7406	47,513
74,0774	46,2223
73,7967	45,1562
73,0669	44,4679
72,337	42,3916
70,9334	38,0707
69,8106	34,9844
69,193	31,842
68,2385	29,5974
67,5093	27,8411
67,4531	26,4382
66,3302	24,6987
65,432	21,0512
61,2773	13,3423
60,2107	11,7149
58,0771	9,6387
49,7503	5,5223
44,3605	3,446
39,42	0,7525
33,627	-2,402
30,8197	-4,0293
28,6302	-4,871
28,7424	-5,3761
29,4162	-5,8811
29,2841	-6,5263
28,2719	-6,6304
27,8197	-7,4791
25,934	-7,6112
24,5782	-6,9311
22,7592	-7,0191
20,0307	-6,286
17,3914	-5,7772
14,7526	-5,1038
8,6159	-4,4334
2,7208	-4,5456
1,0927	-4,8823
0	-5,6104
