X	Y
0	0
1,0904	-0,9207
3,0855	-1,0967
7,4428	-1,4276
10,4782	-1,8944
19,6567	-2,7289
22,4625	-2,1942
26,532	-0,1605
31,3058	3,6125
36,5125	6,518
44,0414	9,1178
47,3535	11,6006
51,8063	13,6009
54,0079	15,1679
56,276	18,5684
59,5502	22,5109
60,9679	24,4477
62,0299	26,2671
62,4229	28,2311
62,7036	30,0268
63,3212	31,6541
64,4441	34,2354
65,8476	37,2095
66,9144	39,9591
68,0373	44,7849
69,3319	49,9137
71,6338	54,1785
75,513	59,8594
80,4023	66,7169
84,7323	71,8348
87,4272	74,6967
89,62	76,948
90,5744	77,7897
91,8095	78,2947
